chunk,offset_s
200,-0.1
201,-2.02
202,-2.02
203,-2.02
204,-2.02
205,-2.02
206,-2.02
207,-2.02
208,-2.02
209,-2.02
210,-2.02
211,-2.02
212,-2.02
213,-2.02
214,-2.02
215,-2.02
216,-2.02
217,-2.02
218,-2.02
219,-2.02
220,-2.02
221,-2.02
222,-2.02
223,-2.02
224,-2.02
225,-2.02
226,-2.02
227,-2.02
228,-2.02
229,-2.02
230,-2.02
231,-2.02
232,-2.02
233,-2.02
234,-2.02
235,-2.02
236,-2.02
237,-2.02
238,-2.02
239,-2.02
240,-2.02
241,-2.02
242,-2.02
243,-2.02
244,-2.02
245,-2.02
246,-2.02
247,-2.02
248,-2.02
249,-2.02
250,-2.02
251,-2.02
252,-2.02
253,-2.02
254,-2.02
255,-2.02
256,-2.02
257,-2.02
258,-2.02
259,-2.02
260,-2.02
261,-2.02
262,-2.02
263,-2.02
264,-2.02
265,-0.5185714285714286
266,-0.6544387755102041
267,-0.7044387755102042
268,-0.7044387755102042
269,-0.6544387755102041
270,-0.6544387755102041
271,-0.9044387755102041
272,-2.1058673469387754
273,-1.9341326530612246
274,-1.9341326530612246
275,-1.9341326530612246
276,-1.9341326530612246
277,-1.9341326530612246
278,-1.9341326530612246
279,-1.9341326530612246
280,-1.9341326530612246
281,-1.9341326530612246
282,-1.9341326530612246
283,-1.9341326530612246
284,-1.9341326530612246
285,-9999.0
286,-1.0
287,8.18
288,8.108571428571427
289,5.510306122448978
290,3.3050874635568497
291,6.198997292794668
292,7.1789972927946675
293,6.198997292794667
294,5.288283007080381
295,9.087721782590584
296,7.446072730112452
297,7.866699422115784
298,8.436699422115783
299,7.906699422115784
300,9.767413707830068
301,13.245117789462721
302,12.046715821532691
303,12.652801957517697
304,16.662801957517697
305,20.272801957517697
306,19.072801957517697
307,19.971373386089123
308,18.057240733027896
309,17.23741201582673
310,16.21741201582673
311,15.197412015826732
312,17.197412015826732
313,17.601697730112445
314,17.52266711786755
315,16.332459391920025
316,18.602459391920025
317,18.57245939192002
318,20.37245939192002
319,17.571030820491448
320,16.882051228654714
321,16.142138692211564
322,15.122138692211564
323,20.182138692211563
324,19.271424406497275
325,20.268006039150336
326,18.258805966264035
327,21.062205981882528
328,24.122205981882527
329,21.062205981882524
330,21.122920267596808
331,18.174910063515174
332,21.180691769054533
333,23.58802426072467
334,24.60802426072467
335,22.78802426072467
336,24.498738546438954
337,21.502156913785896
338,20.70741930445645
339,23.30040608079964
340,26.07040608079964
341,26.32040608079964
342,22.83826322365678
343,21.58826322365678
344,20.751707101207803
345,21.732397698875438
346,20.71239769887544
347,21.69239769887544
348,19.74239769887544
349,20.040969127446864
350,19.86413239275299
351,23.53161781549351
352,26.27161781549351
353,22.88161781549351
354,23.170903529779228
355,23.320903529779226
356,21.557765774677183
357,20.907162640566394
358,22.177162640566394
359,19.857162640566393
360,18.94644835485211
361,21.54588713036231
362,22.454238077884177
363,24.523877160558058
364,24.87387716055806
365,21.81387716055806
366,23.63530573198663
367,21.16530573198663
368,23.526020017700915
369,20.92658124219071
370,18.92658124219071
371,19.94658124219071
372,21.94658124219071
373,19.795152670762135
374,22.11831593606826
375,22.88294421595164
376,21.90294421595164
377,21.88294421595164
378,21.122229930237353
379,20.822229930237356
380,22.87123503227817
381,24.476601285922484
382,25.536601285922483
383,26.836601285922484
384,26.447315571636768
385,29.272162510412272
386,26.33478095064551
387,26.984780950645508
388,27.26478095064551
389,24.244780950645506
390,25.334066664931218
391,22.509219726155706
392,23.98588700020818
393,23.524221418159033
394,26.544221418159033
395,25.56422141815903
396,28.296364275301883
397,26.406364275301883
398,29.627792846730454
399,29.976058152852904
400,31.946058152852903
401,32.2660581528529
402,35.698201009995756
403,32.70845611203657
404,29.92710042690538
405,33.20259136817985
406,34.092591368179846
407,36.61259136817985
408,34.99116279675128
409,32.79146891920027
410,36.22694632444808
411,36.66862973760926
412,33.608629737609256
413,32.54862973760926
414,33.45934402332354
415,32.46276239067048
416,31.42196246355677
417,32.48981973656802
418,32.30981973656802
419,33.32981973656803
420,34.419105450853735
421,29.99140136922108
422,34.06123190857968
423,32.91592930029147
424,31.255929300291463
425,30.785929300291464
426,28.075215014577175
427,29.575215014577175
428,29.925215014577176
429,-9999.0
430,1.0
431,9.16
432,10.070714285714287
433,7.471275510204081
434,7.65221027696793
435,5.662009969804248
436,9.322009969804247
437,9.842009969804247
438,9.802724255518532
439,11.502724255518531
440,8.452290582049143
441,9.47008759371095
442,7.00008759371095
443,8.490087593710948
444,7.75794473656809
445,10.197689634527274
446,9.359375130154097
447,5.387585381091205
448,6.367585381091205
449,7.427585381091205
450,8.33829966680549
451,9.341718034152429
452,7.350918107038726
453,5.746089519991663
454,9.636089519991662
455,6.726089519991662
456,7.45823237713452
457,7.85823237713452
458,8.294788499583499
459,7.31409790191586
460,9.31409790191586
461,11.354097901915859
462,12.536240759058716
463,11.466240759058717
464,13.066240759058717
465,13.867669330487288
466,13.907669330487286
467,10.847669330487285
468,11.936955044773
469,11.78353667742606
470,12.013622318825478
471,9.190746824239888
472,9.740746824239888
473,14.250746824239886
474,15.161461109954171
475,13.98630804872968
476,16.334835745522682
477,18.27768403790086
478,17.25768403790086
479,17.75768403790086
480,20.16839832361514
481,20.99324526239065
482,21.73891581632651
483,21.620947782174074
484,22.310947782174072
485,21.340947782174073
486,19.708804925031217
487,19.037121251561828
488,16.77806877342772
489,17.60751223448561
490,14.467512234485612
491,15.607512234485611
492,17.60751223448561
493,16.85751223448561
494,15.203226520199896
495,13.665573458975404
496,12.075573458975402
497,15.1355734589754
498,13.324859173261114
499,12.050012234485603
500,9.0514845376926

Summary
valid chunks: 299 / 301
min/median/max offset_s: -2.1058673469387754 / 13.867669330487288 / 36.66862973760926

Example picks (target_s, chunk, actual_s)
(0.0, 200, -0.1)
(2.0, 430, 1.0)
(5.0, 294, 5.288283007080381)
(10.0, 432, 10.070714285714287)
